A01,8.99,7.39
A02,36.85,2.93
A03,3.87,11.52
A04,14.28,39.46
A05,-19.20,17.58
A06,5.33,355.87
A07,9.58,346.34
A08,7.00,125.40
A09,14.58,120.00
A10,-9.40,319.50
A11,-1.45,311.55
A12,14.08,100.61
A13,7.89,98.35
AAA,43.25,76.92
AAE,9.03,38.77
ABG,18.62,72.87
ABK,68.35,18.82
ADL,-34.67,138.65
AIA,-65.25,295.74
ALE,82.50,297.50
ALT,69.86,22.96
AMA,28.17,129.33
AMD,69.60,61.21
AMK,65.60,322.37
AMS,-37.80,77.57
AMU,61.24,210.13
ANC,-11.77,282.85
AND,69.30,16.03
ANT,-23.39,289.76
API,-13.80,188.22
APL,39.17,283.12
AQU,42.38,13.32
ARC,68.12,214.44
ARK,64.60,40.50
ARS,56.43,58.57
ASA,-14.28,170.70
ASB,43.46,142.17
ASC,-7.95,345.62
ASH,37.95,58.10
ASP,-23.77,133.88
ASW,23.50,32.51
ATU,67.93,306.43
B01,-64.82,296.52
B02,-66.03,294.00
B03,-67.57,291.88
B04,-68.58,41.08
B05,-69.29,41.32
B06,-69.67,39.40
B07,-70.70,44.28
B08,-72.77,159.03
B09,-74.01,42.99
B10,-77.32,39.71
B11,-77.51,336.58
B12,-79.08,335.88
B13,-80.00,77.00
B14,-80.89,337.74
B15,-81.49,2.97
B16,-82.78,347.06
B17,-82.90,347.76
B18,-84.35,336.14
B19,-85.36,2.06
B20,-85.36,95.98
B21,-87.00,28.41
B22,-86.51,68.17
B23,-88.03,316.13
B24,-71.67,77.77
B27,-81.00,3.00
BBG,78.06,14.21
BCL,9.30,105.71
BDV,49.07,14.02
BEL,51.83,20.80
BET,66.90,208.45
BEY,73.30,70.00
BFE,55.62,11.67
BFO,48.33,8.33
BGY,31.72,35.09
BIK,-1.08,136.05
BJI,40.06,116.18
BJN,74.50,19.20
BKL,-3.86,102.31
BLC,64.32,263.99
BMT,40.30,116.20
BNG,4.33,18.57
BOR,58.03,38.33
BOU,40.14,254.76
BOX,58.03,38.97
BRD,49.87,260.03
BRN,47.80,132.41
BRW,71.32,203.38
BRZ,56.21,24.75
BSL,30.35,270.36
BSV,-25.54,139.21
C01,42.42,276.10
C02,57.71,265.79
C03,58.77,248.89
C04,50.06,251.74
C05,52.03,264.54
C06,53.35,247.03
C07,65.26,233.31
C08,45.87,264.92
C09,54.93,264.71
C10,47.66,245.79
C11,48.03,263.64
C12,49.69,256.20
C13,51.88,239.97
CAN,-35.31,149.36
CBB,69.12,254.97
CBI,27.15,142.30
CCS,77.72,104.28
CDC,64.20,283.40
CDO,8.40,124.63
CDP,31.00,256.30
CEB,10.36,123.91
CER,-33.45,289.40
CGO,64.87,212.14
CHC,64.35,276.00
CHD,70.62,147.89
CKA,68.50,73.60
CKI,-12.19,96.84
CKT,-15.48,145.25
CLF,48.02,2.27
CLK,44.70,285.00
CMD,-34.06,150.67
CMO,64.87,212.14
CNB,-34.10,150.70
CNH,44.08,124.86
CNL,65.75,248.75
CPL,17.30,78.90
